timestamp,position_lat,position_long,distance,accumulated_power,enhanced_speed,enhanced_altitude,unknown_140,power,vertical_oscillation,stance_time_percent,stance_time,vertical_ratio,stance_time_balance,step_length,cycle_length16,heart_rate,cadence,temperature,activity_type,fractional_cadence,unknown_107,unknown_134,unknown_135,unknown_136,unknown_137,unknown_138,unknown_143,unknown_144,activity_id,activity_date,meters_per_beat,enhanced_respiration_rate,unknown_90
2026-04-21 06:15:09+00:00,472300949,31205256,0.0,84.0,1.755,109.79999999999995,1772,84.0,41.0,49.0,519.0,7.03,42.21,973.0,0.0,74,54,27,running,0.0,0,100.0,11.0,49.0,100,100,97,74,2,2026-04-21 08:15:00,1.422972972972973,,
2026-04-21 06:15:10+00:00,472301166,31205535,2.67,226.0,1.755,109.79999999999995,1772,142.0,38.0,48.75,531.0,5.75,43.46,1235.0,0.0,48,49,26,running,0.0,1,100.0,20.0,48.0,100,100,97,74,2,2026-04-21 08:15:00,2.19375,,
2026-04-21 06:15:11+00:00,472301324,31205761,5.12,381.0,1.755,109.79999999999995,1772,155.0,46.7,47.25,523.0,6.81,45.09,941.0,0.0,48,52,26,running,0.5,1,100.0,20.0,48.0,100,100,97,74,2,2026-04-21 08:15:00,2.19375,,
2026-04-21 06:15:12+00:00,472301460,31205963,7.08,615.0,1.755,109.79999999999995,1772,234.0,80.0,44.25,304.0,7.12,46.06,958.0,0.0,49,79,27,running,0.5,1,100.0,23.0,49.0,100,100,97,74,2,2026-04-21 08:15:00,2.1489795918367345,,
2026-04-21 06:15:13+00:00,472301564,31206176,8.92,869.0,1.755,110.0,1772,254.0,79.0,42.75,302.0,7.4,47.53,921.0,0.0,50,79,27,running,0.0,1,100.0,20.0,50.0,100,100,97,74,2,2026-04-21 08:15:00,2.106,,
2026-04-21 06:15:14+00:00,472301686,31206394,10.58,1106.0,1.867,110.0,1885,237.0,75.0,40.5,294.0,8.0,48.87,718.0,0.0,50,80,26,running,0.0,1,100.0,20.0,50.0,100,100,97,75,2,2026-04-21 08:15:00,2.2403999999999997,,
2026-04-21 06:15:15+00:00,472301804,31206639,12.85,1324.0,1.867,110.0,1885,218.0,73.0,39.5,291.0,8.37,49.68,706.0,0.0,50,80,26,running,0.5,1,100.0,20.0,50.0,100,100,97,77,2,2026-04-21 08:15:00,2.2403999999999997,,
2026-04-21 06:15:16+00:00,472301920,31206828,14.72,1555.0,1.867,110.0,1885,231.0,73.0,39.0,288.0,8.78,50.43,687.0,0.0,50,80,26,running,0.5,1,100.0,20.0,50.0,100,100,97,78,2,2026-04-21 08:15:00,2.2403999999999997,,
2026-04-21 06:15:17+00:00,472302066,31207050,16.89,1794.0,1.867,110.0,1885,239.0,72.2,38.5,287.0,9.06,50.96,697.0,0.0,51,80,26,running,0.5,1,,20.0,51.0,100,100,97,79,2,2026-04-21 08:15:00,2.196470588235294,,
2026-04-21 06:15:18+00:00,472302175,31207217,18.21,2036.0,1.867,110.0,1885,242.0,72.2,38.75,288.0,9.25,51.37,713.0,0.0,52,80,26,running,0.5,1,100.0,20.0,52.0,100,100,97,80,2,2026-04-21 08:15:00,2.154230769230769,,
